Year,"Inflation, consumer prices (annual %)",GDP growth (annual %),Lending interest rate (%),Current account balance (% of GDP),Deposit interest rate (%),"Official exchange rate (LCU per US$, period average)",Real interest rate (%),"Foreign direct investment, net inflows (% of GDP)"
1960,NA,NA,NA,NA,NA,4.7619000037619,NA,NA
1961,NA,NA,NA,NA,NA,4.7619000037619,NA,NA
1962,NA,3.81801955808436,NA,NA,NA,4.7619000037619,NA,NA
1963,NA,2.51674859433071,NA,NA,NA,4.7619000037619,NA,NA
1964,NA,3.90643383678592,NA,NA,NA,4.7619000037619,NA,NA
1965,NA,2.5369535357154,NA,NA,NA,4.7619000037619,NA,NA
1966,NA,5.0237894383188,NA,NA,NA,4.7619000037619,NA,NA
1967,NA,6.43902442038787,NA,NA,NA,4.86110583679762,NA,NA
1968,NA,5.80109416633509,NA,NA,NA,5.95237000495237,NA,NA
1969,NA,7.71681966188686,NA,NA,NA,5.95237000495237,NA,NA
1970,NA,3.84662985663837,NA,NA,NA,5.95237000495237,NA,-0.0130635245901639
1971,NA,1.30690539651886,NA,NA,NA,5.93494862096378,NA,0.0126619217081851
1972,NA,-0.410479911058076,NA,NA,NA,5.97031718187335,NA,0.0117465730963468
1973,NA,7.05739893467769,NA,NA,NA,6.402499999,NA,0.0173875244512063
1974,NA,3.84583083633434,NA,NA,NA,6.650749999,NA,0.0391653667704346
1975,NA,6.12623316072201,NA,-2.90217764368681,NA,7.00716666566666,NA,0.00376417333912782
1976,NA,3.33510669179992,NA,-0.165507109315176,NA,8.41199999908333,NA,2.78449160679403e-5
1977,NA,5.10059026388485,NA,3.46430690944804,NA,8.87283333266667,NA,-0.0296884971590161
1978,NA,5.65383685776763,NA,-2.39905798045043,NA,15.61066666575,NA,0.053944134412781
1979,NA,6.40355692592513,NA,-6.72615211317088,NA,15.5718333325833,NA,1.3942692352575
1980,NA,5.84602651617143,NA,-16.2823508694656,NA,16.5344166661667,NA,1.06868442099929
1981,NA,5.69952476661454,NA,-10.0643587786612,NA,19.2457499991667,NA,1.11563163647885
1982,NA,4.14149570229377,NA,-11.4981206132982,NA,20.812249999,NA,1.3329993952062
1983,NA,4.81399096956454,NA,-9.01719279132174,NA,23.5285833324167,NA,0.731028082171103
1984,NA,5.09914655789932,NA,0.014543099555577,NA,25.4381666660833,NA,0.539629797470405
1985,NA,4.99940636872589,NA,-6.9992975801459,NA,27.162583333,NA,0.43760560255979303
1986,NA,4.35554691657009,NA,-6.51148135328221,NA,28.01733333325,NA,0.464045944529907
1987,NA,1.72561069291237,NA,-4.87947833303539,NA,29.44475,NA,0.890492572784856
1988,NA,2.472685037698,NA,-5.65273419241547,NA,31.80675,NA,0.655203410477031
1989,NA,2.29930141198645,NA,-5.92088186722556,NA,36.0470833333333,NA,0.282532657248095
1990,NA,6.39999531084838,NA,-3.71364846145229,NA,40.0629166666667,NA,0.539742838707762
1991,NA,4.59998724404535,NA,-6.60834436461149,NA,41.3715,NA,0.537191399720341
1992,NA,4.39999125181939,NA,-4.6445676126182,NA,43.829625,NA,1.26379157039996
1993,NA,6.90006325149474,NA,-3.69702621240226,NA,48.3221675,NA,1.8810822763682
1994,NA,5.59991872510166,NA,-6.46387915946705,NA,49.4151416666667,NA,1.42019594735505
1995,NA,5.5000852341585,NA,-5.90910994846491,NA,51.2515891666667,NA,0.42975354803099
1996,NA,3.79996720568178,NA,-4.91199982756748,NA,55.2714441666667,NA,0.862545735590984
1997,NA,6.40539969571286,NA,-2.61516855545627,NA,58.994605,NA,2.84957994822129
1998,NA,4.69842304772052,NA,-1.44134564835237,NA,64.4501183333333,NA,1.22459231183785
1999,NA,4.30054049813373,NA,-3.58544100704806,NA,70.63545,NA,1.12676594982183
2000,NA,6.00003315828934,NA,-6.39029694359056,NA,77.0051166666667,NA,1.05898829001768
2001,NA,-1.54540813366026,14.25,-1.36821186331088,10.78,89.3830133333334,0.514847020995709,1.09074720867871
2002,NA,3.96467568513113,13.1675,-1.42925945944237,9.220833333,95.662065,4.67658524491004,1.1882779089504
2003,NA,5.9402690780223,10.34583333,-0.374541248460878,6.003333333,96.5209508333333,1.46867912473837,1.21132740876657
2004,NA,5.44506127885352,9.466666667,-3.1340311530145,5.073333333,101.1944575,0.611364964429026,1.12667735136244
2005,NA,6.24174804376447,10.76416667,-2.66382240513017,5.636666667,100.498051666667,0.312845409932465,1.11612854301768
2006,NA,7.66829190107919,12.85,-5.29710561091735,6.801666667,103.914445833333,1.41356267376407,1.6962636199314
2007,NA,6.79682611892866,17.07666667,-4.33041626176129,9.08,110.623233333333,2.67321360335915,1.8639738781084
2008,NA,5.95008814473897,18.89166667,-9.54319542329735,10.88916667,108.333762719298,2.20469047759682,1.84752962305149
2009,NA,3.53891205317842,15.67166667,-0.510385718302903,10.61083333,114.944783333333,9.24801179446799,0.960390452698523
2010,NA,8.01596737040464,10.2175,-1.83339082942674,6.899166667,113.064480448821,-13.1700417408982,0.81444451886013
2011,6.71676843588542,8.66948301160571,9.41175,-6.81209784164494,6.433333333,110.565207851396,5.22391262563151,1.41088363979556
2012,7.54291373239432,8.63218138024038,13.28233333,-5.69099820826854,8.666275906,127.60335350681,2.55187233900353,1.33591734742632
2013,6.90845034828451,4.05174632926911,12.45333333,-3.29942347704936,10.23083333,129.069030932888,5.83555736459191,1.21109651353017
2014,3.1790022823606,6.37797889289399,7.8375,-2.40848114779964,7.4975,130.564685218829,5.80537155039993,1.08281211166124
2015,3.76836783062097,4.20595547677647,6.9575,-2.21267766202146,5.986666667,135.856912797089,3.82773664325456,0.798746315198802
2016,3.95888846593072,5.05362488994436,10.49333333,-1.9799949250478,7.095,145.581667492026,4.78941323006268,1.01937184461335
2017,7.70413767850602,6.46068127065753,11.57,-2.44676435306533,9.0025,152.446413948767,5.78078147661926,1.45462805347274
2018,2.13503773713198,2.31008425545845,11.55416667,-2.96352841915779,8.853249562,162.464858736778,6.95991098968929,1.70888696252002
2019,3.52839358231813,-0.220483886831275,11.24416667,-2.07126631371234,8.71462419,178.744925045848,7.09887513539176,0.835367459152173
2020,6.15394508391736,-4.62451503749502,NA,-1.40761494671392,NA,185.592557772213,NA,0.514700552667608
2021,7.01478071238194,4.2074764951157,NA,-3.70866603778749,NA,198.764316844656,NA,0.66882570941316
2022,49.7211021114328,-7.34919301306745,NA,-1.95359411175867,NA,322.632674256475,NA,1.19249322228343
2023,16.5411742279832,-2.3298481898334,NA,1.86213703632984,NA,327.506533333333,NA,0.850285474860616
2024,-0.42936004906972,5.00871930957159,NA,NA,NA,NA,NA,0.769118886058675
